Nested Sampling Global Log-Evidence           :   -0.111409852208988255E+03  +/-    0.155625853785287399E+00
Nested Importance Sampling Global Log-Evidence:   -0.112761309011475348E+03  +/-    0.362003013274046631E-01

Dim No.       Mean        Sigma
   1    0.188934441691106372E+03    0.237175487971869785E+02
   2    0.833800707958125820E+01    0.367504286829732352E+00
   3    0.175289204472852372E+00    0.709298338835441938E-01
   4    0.653643508554923045E+02    0.508652219765669322E+00
   5    0.397211941527018109E-01    0.360237702332397922E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.209681252982023409E+03
   2    0.862430579582089862E+01
   3    0.225874619682512545E+00
   4    0.656126780994974581E+02
   5    0.220457659783546611E-04

MAP Parameters
Dim No.        Parameter
   1    0.209681252982023409E+03
   2    0.862430579582089862E+01
   3    0.225874619682512545E+00
   4    0.656126780994974581E+02
   5    0.220457659783546611E-04
