Nested Sampling Global Log-Evidence           :   -0.293336111575338123E+03  +/-    0.150254237337754615E+00
Nested Importance Sampling Global Log-Evidence:   -0.295389311075773037E+03  +/-    0.221436016140250415E-01

Dim No.       Mean        Sigma
   1    0.112220734304693877E+03    0.280776757568133606E+01
   2    0.730276641722325870E+01    0.366253650506050341E-01
   3    0.267005941796174873E+00    0.442177237582406096E-01
   4    0.658418023300095285E+02    0.563297458651298544E+00
   5    0.582332682751371400E+00    0.183891496252615416E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.108169237275653629E+03
   2    0.724938900843111611E+01
   3    0.253190166128211658E+00
   4    0.657185971446289159E+02
   5    0.732791005731250777E+00

MAP Parameters
Dim No.        Parameter
   1    0.108169237275653629E+03
   2    0.724938900843111611E+01
   3    0.253190166128211658E+00
   4    0.657185971446289159E+02
   5    0.732791005731250777E+00
